"","gemeente","VVD","PVV","CDA","D66","GL","SP","PVDA","CU","PVDD","50PLUS","SGP","DENK","FVD","BIJ1","JA21","VOLT","BBB"
"226","oss",4.1,-2.5,-4.5,2.6,-2.7,-3.5,-0.1,0,0.4,-2.2,0,-0.4,3.6,0.3,2.1,1.5,0.8
"227","oude ijsselstreek",2.7,-1.3,-4.1,1.8,-2.5,-5.3,0.5,0.1,0.5,-2.2,0.1,-0.6,3,0.2,2.2,1,3.8
"228","ouder-amstel",-3,-1.8,-2,4.6,-3.9,-0.8,-1.4,0,0.8,-2.2,-0.3,0.2,1.1,1.2,2.8,3.9,0.6
"229","oudewater",-2.5,-2.8,-2.7,2.7,-3.3,-1.1,-0.0999999999999996,0,-0.4,-1.6,-0.7,0,3,0.1,2.9,1.4,3.5
"230","overbetuwe",2.2,-1.3,-4,2.5,-2.7,-3.5,0.199999999999999,-0.1,0.5,-1.9,-0.4,0.1,2.8,0.2,2.1,1.7,1.2
"231","papendrecht",2.9,-3.5,-3.9,2.7,-3.4,-2.4,0.3,0.7,0.5,-2.2,0.0999999999999996,0.1,3.5,0.2,3,1.1,0.2
"232","peel en maas",2,-1.1,-5.3,2,-1.9,-4.4,1.5,0,0.2,-3.1,-0.1,-0.1,3.3,0.1,2.8,1.2,2.7
"233","pekela",3,-1.6,-2,1.2,-3,-8.8,2.1,0.1,0.6,-2.7,0.4,-0.1,6.1,0.2,1.4,0.6,2.1
"234","pijnacker-nootdorp",-1,-3,-3.3,3,-2.7,-1,-0.5,0,0.5,-1.5,-0.1,0.2,1.9,0.3,3.7,2.4,0.4
"235","purmerend",1.2,-3.3,-1.7,1.8,-4,-2,-0.399999999999999,-0.0999999999999999,0.5,-3.4,0,0.3,4.3,0.7,3.2,1.6,0.3
"236","putten",0.599999999999998,-1.5,-5.3,1.8,-1.3,-1.7,-0.2,-0.0999999999999996,0.4,-1.6,-0.0999999999999996,0,3.9,0.1,2.3,0.8,1.6
"237","raalte",3.3,-0.899999999999999,-8.9,1.6,-2.8,-2.7,-0.2,0.2,0.6,-2.2,0.1,0,2,0.1,2.4,1.2,6.4
"238","reimerswaal",1.2,-2.3,-2.7,0.5,-1.2,-2.9,0.3,-0.4,-0.2,-1.2,1.3,-0.1,3.8,0,2.1,0.6,1
"239","renkum",-1.3,-1.5,-3.2,3.3,-4.1,-2,0.2,0.5,2,-1.7,-0.1,0.1,1.8,0.4,1.9,3.2,0.4
"240","renswoude",0.899999999999999,-1.6,-7.2,1,-0.8,-1.4,-0.2,-1.1,-0.2,-1.8,0.699999999999999,0.1,3.8,0.1,3.1,1.2,3.1
"241","reusel-de mierden",6.4,-2.6,-4.1,1.9,-2.1,-6.5,0.9,0,0.6,-2.6,-0.2,0,2.4,0.1,1.8,1.4,2.1
"242","rheden",0.600000000000001,-1.9,-2.3,2.8,-3.7,-3.4,-0.0999999999999996,0.3,1.1,-1.8,-0.1,0.0999999999999999,2.8,0.2,2,2.4,0.4
"243","rhenen",0.699999999999999,-2.4,-3.2,2.4,-2.5,-1.3,-0.3,0.3,0.7,-1.8,-0.0999999999999996,0,2.7,0.2,2.5,1.4,0.4
"244","ridderkerk",2.4,-4.2,-3.8,1.8,-3,-1.7,0.5,0.5,0.3,-3,0,0.3,3.9,0.4,4.1,0.9,0.2
"245","rijssen-holten",0.800000000000001,-1,-4.6,0.600000000000001,-1.4,-2,-0.2,-0.4,0.3,-1.3,-0.200000000000003,-0.2,3.2,0.1,1.8,0.7,3.8
"246","rijswijk",1.2,-4.7,-3.1,3.2,-3.7,-1.6,-0.600000000000001,0.1,0.600000000000001,-2.6,0,1.3,2.5,0.5,2.7,2.5,0.2
"247","roerdalen",2.8,-2.2,-4,1.9,-2.4,-4.3,3.2,0.3,0.7,-4.4,0,0.2,3.6,0.1,1.8,1.2,1.2
"248","roermond",4.2,-2.8,-3.2,3.1,-3.4,-4.9,1.9,0.1,0.7,-2.8,0,-1.2,2.9,0.2,2.2,1.5,0.4
"249","roosendaal",4.2,-4.6,-3.2,2.6,-5.1,-3.7,1.1,0.2,0.8,-2.3,0,0,3.9,0.1,2.6,1.4,0.6
"250","rotterdam",-0.899999999999999,-5.6,-1.9,3.6,-4.7,-2.5,-0.5,-0.0999999999999996,0.7,-2.3,0,0.5,2.8,1.9,3.3,3.4,0.1
"251","rozendaal",-4.6,-1.4,-1.7,5,-2.4,0.2,-1.1,0.3,0.2,-1.4,-0.2,0,0.2,0.6,1.9,3.8,0.1
"252","rucphen",5.4,-8,-2.6,1.3,-1.4,-3.4,0.5,0,0.7,-2.8,0,0.1,5.2,0.1,2.7,0.7,1
"253","schagen",-4,-1.3,2.3,1.9,-4.4,-1.9,-1,0,0.7,-2.3,0,0,3.6,0.2,2.7,1.6,1.5
"254","scherpenzeel",-0.400000000000002,-1.4,-4.2,1.4,-1.1,-0.6,-0.1,-0.800000000000001,0.4,-1,-0.399999999999999,-0.1,2.9,0,2.7,0.7,1.1
"255","schiedam",1.9,-5.7,-2.4,2.7,-3.5,-3.2,0.2,0,0.5,-2.7,0,0.200000000000001,3.7,0.7,3.5,2,0.2
"256","schiermonnikoog",-3.2,0.399999999999999,-4,6.2,-6.2,-3.2,0.4,-0.5,0.4,-0.2,0.1,0,1.3,1.5,1.3,4.4,1.5
"257","schouwen-duiveland",0.5,-3.1,-2.7,3.1,-2.6,-2.9,-0.100000000000001,0,0.6,-2,-0.200000000000001,0.1,3.1,0.1,3,1,1.7
"258","simpelveld",3.6,-3.9,-3,0.800000000000001,-2.7,-6.8,4.3,0.3,0.9,-3.3,0,0.1,5.4,0.1,1.7,1,1
"259","sint anthonis",4.1,0.5,-6.4,3.1,-2.1,-11.8,0.6,0.1,0.9,-0.6,-0.2,0.1,2.9,0.2,2.2,1.3,4.6
"260","sint eustatius",1.8,-1.6,-45.9,-1.5,-2.2,-1.4,-0.3,-0.1,-0.1,-0.3,0,0.2,0.4,-1,0.2,0.5,NA
"261","sint-michielsgestel",2.8,-2.3,-3.7,4.6,-3.5,-3.8,-0.4,0.1,0.8,-1.9,0,0,2,0.2,2,2.1,0.8
"262","sittard-geleen",3.1,-2.9,-4.3,1.9,-3.3,-5.3,3.2,0,0.4,-3.2,0,-0.1,5.9,0.3,1.8,1.4,0.4
"263","sliedrecht",2.6,-2.9,-4.3,1.6,-2.2,-2.5,-0.100000000000001,0.699999999999999,0.3,-2,-0.199999999999999,-0.2,4.2,0.4,2.6,1.1,0.2
"264","sluis",1,-2.9,-1.7,1.3,-2.3,-4.3,-0.0999999999999996,-0.2,0.5,-2.4,-0.5,0.1,4.8,0.2,2.7,1.2,2.4
"265","smallingerland",1,-0.6,-3.7,2.6,-3.9,-4.7,-0.100000000000001,-0.4,0.5,-1.9,0.5,0.1,6.3,0.2,1.6,1.1,1.3
"266","soest",-2,-2.7,-2.3,4.6,-3.3,-1.4,-0.2,0.1,0.8,-1.8,-0.3,-0.7,2.6,0.3,3,2.3,0.3
"267","someren",4.5,-2.8,-5.9,2.5,-2,-4.6,-0.3,0.1,0.4,-3.2,0,0,2.9,0.1,2.7,1.5,4.1
"268","son en breugel",0.699999999999999,-1.9,-4.4,4.8,-2.9,-2.9,-0.4,0.2,0.6,-2.2,0,0.1,2.5,0.1,2.5,2.3,0.5
"269","stadskanaal",2.6,-0.400000000000002,-3.5,0.899999999999999,-3,-5.8,1,-0.0999999999999996,0.3,-2.7,0.3,0.1,5.8,0.1,1.4,0.7,2
"270","staphorst",-0.6,-0.300000000000001,-5.9,0.6,-1.1,-1,-0.2,-3.1,-0.1,-0.9,0,0,6.6,0,2.9,0.7,2.2
"271","stede broec",0.800000000000001,-2.1,-2.3,2.1,-3.5,-3.3,-0.7,0.0999999999999999,0.1,-3,0,0,4.9,0.2,3.5,1.7,1
"272","steenbergen",4.3,-5.1,-3.2,1.8,-2.4,-3.5,0.7,0.1,0.4,-2.9,-0.2,0.1,4.2,0.1,3.4,0.9,1.1
"273","steenwijkerland",0.200000000000003,-0.0999999999999996,-4.6,1.1,-2.5,-3,-0.5,-0.100000000000001,0.4,-2.4,0.2,-0.1,4.5,0.2,2.5,1.2,2.7
"274","stein",3.1,-3,-4.1,1.6,-3.1,-6.6,5.2,0,0.4,-4,0,0,6.2,0.3,1.9,1.3,0.6
"275","stichtse vecht",-0.899999999999999,-2.2,-2.2,2.8,-3.4,-1.5,-0.3,0,0.4,-2.1,-0.2,0.1,2.5,0.4,2.8,2.6,0.6
"276","súdwest-fryslân",-0.600000000000001,-0.700000000000001,-5.6,2.5,-4.3,-3.6,1.7,0,0.7,-1.9,0,0,5.7,0.2,2.2,1.4,2.5
"277","terneuzen",2.3,-2.7,-2.6,1.2,-3.2,-4.4,1.2,-0.100000000000001,0.3,-2.5,0,-0.3,5.2,0.1,2.5,1,1.5
"278","terschelling",-2.9,-1,-1.9,2.6,-4.3,-1.7,0.800000000000001,-0.5,0.7,-1.9,-0.1,0,2.1,0.3,2.7,2.8,2.1
"279","texel",-3.8,-0.799999999999999,-1.9,2.4,-4.9,-2.2,-0.399999999999999,0,1.2,-2.1,-0.1,0.2,3.6,0.2,3.3,1.9,2.7
"280","teylingen",-2.1,-1.7,-2.3,3.2,-3.4,-1.1,-0.5,0.0999999999999996,0.7,-2,-0.1,0.1,2,0.3,3.3,2.5,0.3
